     Refresh     ,Last Update : 2024-08-31 23:39:24,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
Time Series (Company),,,,,,,,,,,,,,,
Frequency,D,Ascending,0,,,,,,,,,,,,
Period(From),20160303,Korean,0,,,,,,,,,,,,
Period(To),20240830,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code,A069500,A232080,A143850,A195930,A238720,A192090,A148070,A136340,A182490,A132030,A130680,A114800,A138230,A139660,A130730
Name,KODEX 200,TIGER 코스닥150,TIGER 미국S&P500선물(H),TIGER 유로스탁스50(합성 H),ACE 일본Nikkei225(H),TIGER 차이나CSI300,KOSEF 국고채10년,RISE 중기우량회사채,TIGER 단기선진하이일드(합성 H),KODEX 골드선물(H),TIGER 원유선물Enhanced(H),KODEX 인버스,KOSEF 미국달러선물,KOSEF 미국달러선물인버스,KOSEF 단기자금
Item Code,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100
Unit,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares
Base Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D A T E,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
2016-03-03,"24,370","10,850","23,175","9,690","10,520","7,200","119,720","103,880","9,495","9,570","3,555","8,260","12,480","10,315","100,825"
2016-03-04,"24,375","10,880","23,275","9,645","10,540","7,230","119,495","103,670","9,530","9,745","3,600","8,250","12,360","10,410","100,820"
2016-03-07,"24,425","10,825","23,290","9,640","10,515","7,265","119,500","103,850","9,565","9,725","3,765","8,230","12,315","10,430","100,825"
2016-03-08,"24,255","10,835","23,265","9,635","10,465","7,200","119,845","103,850","9,570","9,790","3,800","8,295","12,370","10,385","100,815"
2016-03-09,"24,360","10,900","23,215","9,580","10,360","7,175","119,785","103,700","9,565","9,685","3,745","8,260","12,490","10,300","100,840"
2016-03-10,"24,585","10,960","23,255","9,590","10,480","7,190","119,670","103,895","9,555","9,640","3,810","8,200","12,355","10,415","100,825"
2016-03-11,"24,640","10,995","23,400","9,520","10,525","7,145","119,290","103,790","9,555","9,835","3,840","8,175","12,255","10,485","100,840"
2016-03-14,"24,620","10,945","23,575","9,905","10,690","7,200","119,080","103,770","9,620","9,680","3,810","8,175","12,160","10,560","100,845"
2016-03-15,"24,600","10,880","23,515","9,900","10,675","7,140","119,220","103,795","9,620","9,460","3,710","8,185","12,200","10,540","100,835"
2016-03-16,"24,665","10,890","23,575","9,870","10,525","7,170","119,175","103,780","9,620","9,500","3,705","8,160","12,235","10,480","100,850"
2016-03-17,"24,800","10,890","23,660","9,885","10,455","7,170","119,620","103,860","9,605","9,720","3,805","8,125","12,040","10,655","100,855"
2016-03-18,"24,815","10,950","23,800","9,750","10,365","7,290","120,025","103,870","9,645","9,790","3,855","8,110","11,935","10,755","100,855"
2016-03-21,"24,785","10,930","23,825","9,780","10,345","7,415","120,135","103,930","9,665","9,600","3,810","8,115","11,955","10,770","100,855"
2016-03-22,"24,910","10,925","23,915","9,730","10,495","7,425","119,990","103,920","9,680","9,620","3,880","8,085","11,840","10,835","100,850"
2016-03-23,"24,890","10,865","23,870","9,720","10,520","7,350","119,645","103,650","9,675","9,520","3,875","8,090","11,925","10,770","100,845"
2016-03-24,"24,825","10,785","23,700","9,725","10,495","7,350","119,925","103,975","9,655","9,395","3,810","8,105","11,960","10,725","100,875"
2016-03-25,"24,780","10,700","23,900","9,705","10,535","7,305","119,915","103,965","9,620","9,535","3,775","8,115","12,010","10,720","100,860"
2016-03-28,"24,820","10,615","23,800","9,565","10,580","7,370","119,990","103,920","9,605","9,385","3,810","8,105","11,970","10,740","100,855"
2016-03-29,"24,950","10,730","23,745","9,555","10,650","7,230","120,240","104,070","9,615","9,405","3,770","8,065","11,950","10,770","100,870"
2016-03-30,"25,060","10,780","24,000","9,645","10,495","7,315","120,665","104,085","9,610","9,545","3,760","8,030","11,820","10,885","100,885"
2016-03-31,"24,955","10,740","24,020","9,730","10,470","7,295","120,520","104,115","9,625","9,490","3,720","8,075","11,745","10,945","100,920"
2016-04-01,"24,600","10,865","23,895","9,555","10,085","7,260","120,515","104,190","9,645","9,505","3,705","8,170","11,855","10,860","100,925"
2016-04-04,"24,645","10,920","24,160","9,450","10,020","7,340","120,580","104,190","9,655","9,380","3,625","8,155","11,775","10,920","100,910"
2016-04-05,"24,440","10,930","23,995","9,480","9,790","7,435","120,480","104,210","9,660","9,450","3,540","8,220","11,870","10,840","100,930"
2016-04-06,"24,565","10,840","23,895","9,285","9,760","7,400","120,590","104,205","9,640","9,485","3,595","8,185","11,870","10,825","100,920"
2016-04-07,"24,580","10,945","24,085","9,325","9,815","7,365","120,395","104,225","9,670","9,490","3,680","8,185","11,830","10,875","100,945"
2016-04-08,"24,530","10,915","23,895","9,215","9,865","7,260","120,415","104,205","9,670","9,530","3,665","8,200","11,850","10,875","100,960"
2016-04-11,"24,550","10,770","23,815","9,320","9,750","7,380","120,595","104,220","9,680","9,625","3,775","8,190","11,775","10,940","100,970"
