,Momentum,KOSPI,KOSDAQ,S&P 500,STOXX 50,Nikkei 225,CSI 300,TB 10Y,Prime CBonds,Foreign Bonds,Gold,WTI,KOSPI Short,US Long,US Short,MMF,Cash,Annual Return,Annual Volatility
0,0,19,0,20,0,20,0,0,0,20,11.79,8.21,0,0,0,0,1,7.63,11.15
1,0.05,19,0,20,0,20,0,0,0,20,12.22,7.78,0,0,0,0,1,7.58,11.1
2,0.1,19,0,20,0,20,0,0,0,20,12.09,7.91,0,0,0,0,1,7.59,11.12
3,0.15,19,0,20,0,20,0,0,0,20,12.38,7.62,0,0,0,0,1,7.56,11.08
4,0.2,19,0,20,0,20,0,0,0,20,12.16,7.84,0,0,0,0,1,7.59,11.11
5,0.25,19,0,20,0,20,0,0,0,20,12.22,7.78,0,0,0,0,1,7.58,11.1
6,0.3,18.69,0.31,20,0,20,0,0,0,20,12.3,7.7,0,0,0,0,1,7.59,11.1
7,0.35,15.94,2.8,20,0,20,0,0,0,20,12.65,7.35,0,0.27,0,0,1,7.71,11.12
8,0.4,16.2,2.78,20,0,20,0,0,0,20,12.54,7.46,0,0.02,0,0,1,7.7,11.18
9,0.45,12.11,5.05,20,0,20,0,0,0,20,12.49,7.51,0,1.83,0,0,1,8.01,10.96
10,0.5,11.26,6.15,20,0,20,0,0,0,20,12.52,7.48,0,1.59,0,0,1,8.04,11.06
11,0.55,7.77,7.74,20,0,20,0,0,0,20,12.47,7.53,0,3.49,0,0,1,8.32,10.81
12,0.6,8,7.75,20,0,20,0,0,0,20,12.38,7.62,0,3.25,0,0,1,8.31,10.87
13,0.65,6.09,9.05,20,0,20,0,0,0,20,12.63,7.37,0,3.85,0,0,1,8.41,10.82
14,0.7,3.92,10.23,20,0,20,0,0,0,20,12.37,7.63,0,4.85,0,0,1,8.61,10.75
15,0.75,1.6,11.9,20,0,20,0,0,0,20,12.46,7.54,0,5.5,0,0,1,8.75,10.75
16,0.8,0.18,13.08,20,0,20,0,0,0,20,12.51,7.49,0,5.74,0,0,1,8.84,10.8
17,0.85,0,13.01,20,0,20,0,0,0,20,12.82,7.18,0,5.99,0,0,1,8.82,10.71
18,0.9,0,13.08,20,0,20,0,0,0,20,12.8,7.18,0,5.94,0,0,1,8.82,10.73
19,0.95,0,13.77,20,0,20,0,0,0,20,11.81,6.82,0,6.6,0,0,1,8.76,10.74
20,1,0,14.02,20,0,20,0,0,0,20,10.05,6.94,0,7.98,0,0,1,8.77,10.67
